"","prov","fixup"
"1","0N","ON"
"2","AB","AB"
"3","AB T1a 8m3","AB"
"4","AL","AB"
"5","Alb","AB"
"6","ALB","AB"
"7","Alberta","AB"
"8","Alta","AB"
"9","Alta.","AB"
"10","B.C.","BC"
"11","Bc","BC"
"12","BC","BC"
"13","BC'","BC"
"14","CO",""
"15","CW",""
"16","MA",""
"17","Man","MB"
"18","Man.","MB"
"19","Manitoba","MB"
"20","MB","MB"
"21","ME",""
"22","MT",""
"23","N.-B.","NB"
"24","N.B.","NB"
"25","N.S","NS"
"26","N.S.","NS"
"27","Na",""
"28","NANA",""
"29","Nb","NB"
"30","NB","NB"
"31","NE",""
"32","NJ",""
"33","Nl","NL"
"34","NL","NL"
"35","No Address",""
"36","Nova Scotia","NS"
"37","NS","NS"
"38","NSB",""
"39","NT","NT"
"40","NU","NU"
"41","On","ON"
"42","ON","ON"
"43","ON.","ON"
"44","ONl","ON"
"45","Ont","ON"
"46","ONT","ON"
"47","Ont.","ON"
"48","Ontario","ON"
"49","OON","ON"
"50","P.E.I","PE"
"51","P.E.I.","PE"
"52","Pe","PE"
"53","PE","PE"
"54","PEI","PE"
"55","PQ","QC"
"56","Qc","QC"
"57","QC","QC"
"58","QC`","QC"
"59","QQC","QC"
"60","QU","QC"
"61","Que","QC"
"62","QUE","QC"
"63","Qué","QC"
"64","Qué.","QC"
"65","Que.","QC"
"66","Quebec","QC"
"67","Québec","QC"
"68","S","SK"
"69","SASK","SK"
"70","Sk","SK"
"71","SK","SK"
"72","Sk.","SK"
"73","SK.","SK"
"74","Sk4","SK"
"75","YK","YT"
"76","YT","YT"
